id,make,model,year,price,mileage,engine_size,fuel_type,transmission,doors,color,tax,mpg,sold_date
1,Volkswagen,Model B,2022,23859,94811,3.6,Diesel,Manual,2,Grey,288,39.2,2023-10-11
2,Chevrolet,Model A,2008,16953,128028,4.9,Diesel,Manual,5,Red,339,15.3,2021-04-22
3,BMW,Model B,2006,12332,49178,4.1,Diesel,Automatic,4,Red,458,37.2,2020-05-04
4,Chevrolet,Model B,2018,18475,42821,2.7,Hybrid,Manual,5,Silver,486,43.7,2021-06-20
5,Chevrolet,Model C,2017,12129,192799,2.8,Gasoline,Manual,4,Silver,295,19.1,2021-12-06
6,Toyota,Model D,2016,24551,26999,3.5,Electric,Manual,5,White,396,44.7,2023-11-26
7,BMW,Model D,2011,31428,48712,3.7,Electric,Automatic,3,Grey,264,11.3,2021-06-14
8,BMW,Model B,2006,18173,181244,3.0,Electric,Automatic,3,Red,406,46.5,2022-02-24
9,BMW,Model C,2017,26611,43722,3.6,Gasoline,Manual,2,Red,370,14.7,2020-09-10
10,Chevrolet,Model B,2018,15175,20625,1.1,Electric,Manual,4,Red,107,35.8,2020-04-30
11,Volkswagen,Model B,2021,17882,16859,2.7,Hybrid,Automatic,2,Red,137,20.0,2022-11-21
12,BMW,Model B,2013,14295,182681,2.1,Gasoline,Automatic,3,Black,213,43.5,2021-10-22
13,Honda,Model C,2021,5068,184379,1.5,Diesel,Manual,4,Grey,438,30.5,2022-11-26
14,Chevrolet,Model D,2012,19744,120986,1.4,Hybrid,Manual,2,Blue,155,15.4,2023-09-27
15,Toyota,Model C,2006,20899,31839,3.4,Diesel,Automatic,2,Blue,458,32.8,2022-11-02
16,Volkswagen,Model A,2017,27461,37216,3.1,Electric,Automatic,2,White,237,26.3,2023-04-21
17,Honda,Model C,2007,25568,62953,2.0,Hybrid,Manual,2,Black,201,36.5,2023-07-12
18,Honda,Model C,2020,25662,59522,2.9,Gasoline,Automatic,2,Red,433,45.3,2020-03-28
19,Toyota,Model C,2010,13181,145958,3.0,Hybrid,Manual,4,Red,276,26.4,2020-02-15
20,Volkswagen,Model C,2011,23216,121249,1.8,Diesel,Manual,2,Silver,268,21.6,2023-11-16
21,Chevrolet,Model D,2014,31078,17485,3.6,Gasoline,Manual,4,Silver,438,10.6,2023-02-16
22,Ford,Model A,2013,22659,172527,4.1,Hybrid,Automatic,2,White,385,33.0,2022-07-21
23,Volkswagen,Model D,2006,32800,157839,4.2,Hybrid,Manual,3,Red,360,26.1,2022-01-14
24,Toyota,Model D,2019,34132,122701,3.4,Hybrid,Manual,3,White,474,25.0,2022-08-24
25,Honda,Model C,2009,18120,169525,3.0,Hybrid,Automatic,2,Black,322,17.3,2022-02-01
26,Chevrolet,Model B,2008,15121,112638,1.2,Gasoline,Automatic,5,Blue,298,27.2,2022-01-31
27,Volkswagen,Model B,2008,14669,194514,2.2,Diesel,Manual,3,Red,310,49.4,2022-03-04
28,Ford,Model D,2022,9387,192949,1.4,Hybrid,Manual,4,Grey,386,21.9,2022-01-13
29,Ford,Model D,2008,16371,22226,4.9,Gasoline,Automatic,2,Black,279,34.0,2022-12-05
30,BMW,Model C,2021,28453,103405,1.5,Diesel,Automatic,4,Red,349,41.1,2021-07-11
31,BMW,Model D,2016,4571,32588,1.6,Hybrid,Automatic,5,Grey,330,40.0,2021-06-09
32,Toyota,Model C,2021,12737,172781,4.6,Diesel,Manual,2,Silver,122,23.2,2021-08-19
